Feature,Importance
Total charges,0.3167769319817475
Customer service calls,0.18139070581668845
International plan,0.15805912588450094
Total day minutes,0.12833832390812272
Total intl minutes,0.03887062378851321
Total intl calls,0.037521567984690404
Number vmail messages,0.03196801978786477
Total eve minutes,0.031787454416311506
Voice mail plan,0.02082751431028142
Total night minutes,0.01290447092095971
Total day calls,0.01260337598523717
Total night calls,0.00975040403118845
Account length,0.009549548291589724
Total eve calls,0.00656893956785725
Area code_415,0.0016525900345535816
Area code_510,0.0014304032898933233
