Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total charges,Area code_415,Area code_510
128,0,1,25,265.1,110,197.4,99,244.7,91,10.0,3,1,0,75.56,True,False
107,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,0,59.24000000000001,True,False
137,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,0,62.290000000000006,True,False
84,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,0,66.8,False,False
75,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,0,52.089999999999996,True,False
118,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,0,67.61,False,True
121,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,0,78.31,False,True
147,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,0,46.900000000000006,True,False
141,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,0,80.53999999999999,True,False
74,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,0,57.08,True,False
168,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,0,40.190000000000005,False,False
95,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,0,59.64,False,True
62,0,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,0,59.309999999999995,True,False
85,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,0,65.02,False,False
93,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,0,58.989999999999995,False,True
76,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,0,60.50000000000001,False,True
73,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,0,63.9,True,False
147,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,0,59.0,True,False
77,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,1,36.019999999999996,False,False
130,0,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,0,48.06,True,False
132,0,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,0,48.08,False,True
174,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,0,60.15,True,False
57,0,1,39,213.0,115,191.1,112,182.7,115,9.5,3,0,0,63.24,False,False
54,0,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,0,44.61,False,False
20,0,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,0,64.12,True,False
142,0,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,0,41.14,True,False
75,0,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,0,69.42999999999999,False,True
172,0,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,0,55.29,False,False
12,0,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,1,79.67999999999999,False,False
57,0,1,25,176.8,94,195.0,75,213.5,116,8.3,4,0,0,58.49,False,False
72,0,1,37,220.0,80,217.3,102,152.8,71,14.7,6,3,0,66.72,True,False
78,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,0,54.2,True,False
136,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,0,58.03,True,False
149,0,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,0,58.44,False,False
98,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,0,46.63999999999999,False,False
135,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,1,56.199999999999996,False,False
34,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,0,61.92999999999999,False,True
160,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,0,39.15,True,False
64,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,0,58.260000000000005,False,True
59,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,0,48.3,False,False
142,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,0,56.129999999999995,False,False
97,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,0,47.25,True,False
52,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,0,68.32,False,False
60,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,0,68.49000000000001,False,False
96,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,0,62.76,True,False
87,0,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,1,56.14,True,False
81,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,0,65.94,False,False
141,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,0,45.370000000000005,True,False
121,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,1,49.849999999999994,False,False
125,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,0,65.82,False,False
174,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,0,57.67999999999999,False,False
116,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,0,71.41999999999999,True,False
149,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,0,62.029999999999994,False,False
38,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,0,45.51,False,False
40,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,0,50.89000000000001,True,False
43,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,0,70.46,True,False
113,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,0,46.88,False,False
126,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,0,63.42999999999999,False,False
150,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,1,55.199999999999996,False,True
138,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,0,72.08,False,False
162,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,0,68.96,False,True
147,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,0,64.84,False,True
90,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,0,62.67999999999999,True,False
50,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,0,55.49999999999999,True,False
82,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,1,81.75,True,False
144,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,1,27.02,False,False
70,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,0,56.459999999999994,False,False
144,0,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,0,73.63,True,False
116,1,0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,0,69.96000000000001,True,False
55,0,1,25,165.6,123,136.1,95,175.7,90,11.0,2,3,0,50.599999999999994,False,False
70,0,1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,0,77.16000000000001,True,False
106,0,0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,1,68.94,False,True
94,0,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,1,50.709999999999994,False,False
111,0,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,0,65.6,False,True
74,0,1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,0,48.72,True,False
128,0,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,1,74.64,True,False
82,0,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,0,48.96,False,True
80,0,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,0,49.36000000000001,True,False
78,0,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,0,72.6,True,False
90,0,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,0,55.26,True,False
104,0,0,0,278.4,106,81.0,113,163.2,137,9.8,5,1,0,64.21000000000001,False,False
99,0,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,0,62.25000000000001,True,False
120,0,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,1,62.809999999999995,False,False
98,0,1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,0,57.24,False,True
135,0,0,0,151.7,82,119.0,105,180.0,100,10.5,6,0,0,46.849999999999994,True,False
122,0,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,0,57.989999999999995,False,False
95,0,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,0,68.13,False,False
93,0,1,21,117.9,131,164.5,115,217.0,86,9.8,3,1,0,46.42999999999999,False,True
157,0,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,0,65.09,False,False
120,0,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,0,62.61000000000001,False,False
103,0,0,0,185.0,117,223.3,94,222.8,91,12.6,2,2,0,63.86,True,False
98,0,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,0,57.120000000000005,False,False
125,0,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,0,53.78999999999999,False,False
36,1,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,1,66.75,False,True
64,0,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,0,47.010000000000005,False,True
74,0,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,1,76.91000000000001,True,False
112,0,1,36,113.7,117,157.5,82,177.6,118,10.0,3,2,0,43.410000000000004,False,True
46,0,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,0,67.59,False,False
41,0,1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,0,56.74,False,False
121,0,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,0,60.61,False,True
193,0,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,0,48.51,True,False
130,0,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,0,48.29,False,True
85,0,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,0,68.33999999999999,False,False
162,0,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,1,34.84,True,False
61,0,1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,1,56.23,False,True
92,0,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,0,42.41,False,False
131,0,1,36,214.2,115,161.7,117,264.7,102,9.5,4,3,0,64.63,False,False
90,0,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,0,52.78999999999999,True,False
78,0,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,0,73.17999999999999,True,False
82,0,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,0,62.34,False,False
163,0,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,0,62.46,False,False
91,1,0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,0,50.95,False,True
75,0,1,21,175.8,97,217.5,106,237.5,134,5.3,4,5,0,60.49999999999999,True,False
91,0,0,0,203.1,106,210.1,113,195.6,129,12.0,3,3,0,64.42999999999999,False,True
127,0,1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,0,56.790000000000006,False,True
113,0,1,23,205.0,101,152.0,60,158.6,59,10.2,5,2,0,57.660000000000004,True,False
110,0,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,0,60.8,False,True
120,0,1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,0,67.04,True,False
157,0,1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,0,56.14,True,False
103,0,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,0,70.71,False,True
117,1,0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,1,58.53,False,False
140,0,0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,0,61.86,True,False
83,1,0,0,271.5,87,216.3,126,121.1,105,11.7,4,1,0,73.16,False,False
145,0,1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,0,73.5,False,False
113,0,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,0,62.38,False,False
56,0,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,0,67.72000000000001,True,False
96,0,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,0,71.92,True,False
151,0,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,0,69.83,False,False
83,0,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,1,87.89,True,False
139,0,1,23,157.6,129,247.0,96,259.2,112,13.7,2,0,0,63.150000000000006,False,True
115,0,1,24,142.1,124,183.4,129,164.8,114,9.6,4,1,0,49.760000000000005,False,True
87,0,0,0,136.3,97,172.2,108,137.5,101,7.1,5,0,0,45.92,True,False
141,0,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,0,72.08999999999999,True,False
141,0,1,36,187.5,99,241.4,116,229.5,105,10.5,5,3,0,65.57,False,True
62,0,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,0,42.26,True,False
146,0,0,0,206.3,151,148.6,89,167.2,91,6.1,3,1,0,56.87,True,False
92,0,1,33,243.1,92,213.8,92,228.7,104,12.1,2,2,0,73.05999999999999,True,False
185,0,1,31,189.8,126,163.3,133,264.8,126,7.5,3,1,0,60.10000000000001,False,True
148,0,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,0,69.71000000000001,True,False
94,0,1,38,170.1,124,193.3,116,105.9,73,12.8,4,1,0,53.580000000000005,False,False
68,0,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,0,67.25,False,False
179,0,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,0,62.61999999999999,False,False
94,0,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,0,68.0,True,False
62,0,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,0,53.26,True,False
116,0,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,0,59.73,False,False
70,0,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,0,73.36,False,False
94,1,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,0,67.00999999999999,False,True
126,0,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,1,31.05,True,False
67,0,1,36,115.6,111,237.7,94,169.9,103,9.9,12,2,0,50.169999999999995,False,False
19,0,0,0,186.1,98,254.3,57,214.0,127,14.6,7,2,0,66.83000000000001,False,False
170,1,0,0,259.9,68,245.0,122,134.4,121,8.4,3,3,0,73.32999999999998,False,True
73,0,0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,0,73.02,True,False
106,0,0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,0,44.13,False,False
164,0,0,0,160.6,111,163.2,126,187.1,112,9.0,3,1,0,52.02,False,True
51,0,0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,0,68.3,False,False
107,0,0,0,133.8,85,180.5,94,112.2,115,8.9,4,0,0,45.54,True,False
130,0,0,0,176.9,109,90.7,104,238.0,69,9.5,2,1,0,51.06,True,False
80,0,0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,0,64.00999999999999,False,False
94,0,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0,0,51.019999999999996,True,False
118,0,1,23,289.5,52,166.6,111,119.1,88,9.5,4,1,0,71.30999999999999,False,False
117,0,1,23,198.1,86,177.0,86,180.5,92,6.8,6,1,0,58.690000000000005,True,False
78,0,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,0,55.32999999999999,True,False
131,1,1,26,292.9,101,199.7,97,255.3,127,13.8,7,4,1,81.97999999999999,False,True
63,0,0,0,83.0,64,177.0,106,245.7,89,13.0,3,0,0,43.73,False,False
53,0,1,24,145.7,146,220.5,136,249.9,96,13.1,5,3,0,58.3,True,False
62,0,0,0,182.3,101,328.2,93,245.0,131,11.2,1,2,0,72.94,False,False
97,0,0,0,218.0,86,184.0,94,240.5,110,6.4,8,3,0,65.25,True,False
105,0,0,0,140.6,109,178.6,51,217.0,83,6.8,3,2,0,50.68,False,True
157,0,0,0,152.7,105,257.5,80,198.1,93,9.4,4,1,0,59.300000000000004,True,False
66,0,1,36,106.7,76,209.8,77,190.4,117,12.1,2,1,0,47.81,True,False
38,0,0,0,194.4,94,186.7,95,223.3,90,10.8,5,3,0,61.89,True,False
106,0,0,0,213.9,95,151.9,70,260.1,124,12.2,5,3,0,64.26,False,True
99,0,0,0,217.2,112,246.7,89,226.1,89,15.8,7,3,0,72.33,False,True
144,1,0,0,203.5,100,247.6,103,194.3,94,11.9,11,0,0,67.6,False,True
82,0,1,24,155.2,131,244.5,106,122.4,68,10.7,3,1,0,55.559999999999995,True,False
86,0,1,31,167.6,139,113.0,118,246.9,121,12.2,6,1,0,52.49999999999999,False,False
70,1,0,0,226.7,98,228.1,115,73.2,93,17.6,4,2,1,65.97,False,True
93,0,0,0,179.3,93,178.6,98,225.2,131,11.5,6,3,0,58.9,True,False
93,0,0,0,151.4,89,186.4,76,172.5,120,10.9,3,0,0,52.279999999999994,True,False
120,0,0,0,180.0,80,224.2,82,265.4,91,4.7,7,3,0,62.87,True,False
136,0,0,0,250.2,121,267.1,118,151.0,114,13.0,2,1,1,75.54,True,False
106,0,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0,0,57.68,True,False
81,0,0,0,183.6,116,152.6,98,212.2,99,12.2,6,3,0,57.02,True,False
127,0,1,22,166.0,114,174.5,103,244.9,68,10.2,6,1,0,56.81999999999999,False,False
35,0,0,0,149.3,113,242.2,122,174.3,104,8.9,6,2,0,56.21,False,False
88,0,0,0,65.4,97,168.2,76,236.0,113,13.8,1,2,0,39.769999999999996,False,False
123,0,0,0,206.9,85,244.7,78,221.5,136,7.7,2,3,0,68.02,True,False
126,0,1,27,186.2,78,189.6,83,76.5,139,9.6,3,2,0,53.8,False,False
104,0,1,23,280.2,136,220.5,92,136.9,102,13.3,3,4,0,76.12,True,False
93,1,0,0,312.0,109,129.4,100,217.6,74,10.5,2,0,1,76.66999999999999,False,False
63,1,1,36,199.0,110,291.3,111,197.6,92,11.0,6,1,0,70.45,True,False
100,0,0,0,203.1,96,217.0,126,180.9,122,13.5,2,3,0,64.77000000000001,True,False
53,0,0,0,168.8,97,220.3,87,154.3,113,10.9,2,0,0,57.309999999999995,True,False
92,1,0,0,173.1,140,240.3,105,233.2,117,9.0,5,1,0,62.78,True,False
110,0,1,40,202.6,103,118.8,128,234.9,98,9.0,9,2,0,57.54,False,False
110,0,0,0,74.5,117,200.8,98,192.2,101,9.8,7,3,0,41.04,False,False
73,0,0,0,192.2,86,168.6,116,139.8,87,9.4,6,1,0,55.83,True,False
138,0,0,0,220.2,89,88.3,125,195.3,79,12.9,5,0,0,57.209999999999994,False,True
137,1,0,0,135.1,95,134.1,102,223.1,81,12.3,2,2,1,47.73,True,False
36,0,0,0,253.4,77,182.4,151,275.8,103,8.4,2,1,0,73.25999999999999,True,False
85,0,0,0,225.0,81,176.9,63,194.3,110,7.1,2,3,0,63.95,False,False
108,0,0,0,198.5,99,267.8,60,354.9,75,9.4,3,0,1,75.02000000000001,False,False
22,0,0,0,110.3,107,166.5,93,202.3,96,9.5,5,0,0,44.57,False,False
